employee_id,name,age,salary,join_date,department,gender,country,city,weight_kg,is_active,review,price,target
15,Bob I.,19.0,119822.0,2012-03-08,Sales,Female,United States,Chittagong,52.0,True,Good value for money.,366.72,0
16,Charlie R.,60.0,32456.0,2015-02-06,Engineering,Female,United States,Rajshahi,78.3,True,Delivery was fast and packaging great.,393.84,0
17,Hasan M.,24.0,75294.0,2017-03-06,Marketing,Female,United States,Khulna,121.2,False,No Review,73.45,0
18,Charlie B.,46.0,93280.0,2020-08-20,Engineering,Female,United States,Sylhet,102.8,True,Delivery was fast and packaging great.,67.27,0
19,Hasan S.,35.0,58839.0,2023-03-06,HR,Male,United States,Khulna,123.6,True,Product met all expectations.,159.79,0
20,Diana O.,42.0,40721.0,2023-06-09,HR,Male,United States,Khulna,74.6,False,Product met all expectations.,244.98000000000002,0
21,Grace R.,31.0,71553.0,2014-08-17,Marketing,Female,Bangladesh,Khulna,73.5,True,Would buy again without hesitation.,244.98000000000002,0
22,Grace O.,52.0,102031.0,2023-06-09,Finance,Male,United States,Rajshahi,83.1,False,Very satisfied with the quality.,255.73,0
23,John Z.,60.0,100843.0,2022-10-21,Finance,Male,Bangladesh,Khulna,118.0,True,No Review,373.1,0
24,Ira K.,24.0,85159.0,2013-12-11,HR,Male,Bangladesh,Chittagong,120.0,False,Delivery was fast and packaging great.,168.77,0
25,John L.,36.0,75294.0,2022-05-28,Finance,Female,United Kingdom,Chittagong,61.9,True,Delivery was fast and packaging great.,474.57,0
26,Hasan K.,41.0,87774.0,2016-03-10,HR,Female,United Kingdom,Khulna,121.9,False,Delivery was fast and packaging great.,154.41,1
27,Frank X.,18.0,74804.0,2016-11-11,Sales,Female,United States,Khulna,102.6,False,Product met all expectations.,198.44,0
28,Alice T.,32.0,75294.0,2019-10-22,Sales,Male,United States,Chittagong,68.1,False,Very satisfied with the quality.,6.05,1
29,Diana M.,55.0,108592.0,2016-11-16,HR,Male,Bangladesh,Khulna,92.6,True,Product met all expectations.,478.86,0
30,Frank U.,56.0,90635.0,2013-05-12,Sales,Male,Bangladesh,Dhaka,107.3,False,Would buy again without hesitation.,342.24,1
31,Ira A.,39.0,104221.0,2019-01-20,Sales,Male,United States,Rajshahi,50.5,False,Would buy again without hesitation.,276.95,0
32,Hasan F.,23.0,44772.0,2019-11-04,Finance,Male,United States,Rajshahi,125.3,False,No Review,302.35,0
33,Ira Z.,53.0,102244.0,2020-06-05,Sales,Female,United States,Sylhet,62.5,False,Very satisfied with the quality.,317.36,0
34,Grace Q.,23.0,61246.0,2023-06-09,Finance,Female,United States,Dhaka,98.8,False,Very satisfied with the quality.,388.1,0
35,Grace J.,46.0,106907.0,2022-11-03,Sales,Female,United States,Chittagong,65.2,False,Very satisfied with the quality.,87.2,0
36,Grace W.,61.0,41850.0,2014-09-02,HR,Male,Bangladesh,Sylhet,97.8,True,Very satisfied with the quality.,145.38,0
37,Alice S.,31.0,88711.0,2019-02-01,Finance,Male,United States,Sylhet,50.2,False,"Excellent product, highly recommend!",22.27,0
38,John F.,62.0,77669.0,2019-02-01,Sales,Male,Bangladesh,Sylhet,128.3,False,"Excellent product, highly recommend!",396.85,0
39,Diana E.,60.0,41156.0,2014-09-09,Finance,Female,United States,Sylhet,74.0,False,No Review,78.03,0
40,Bob A.,41.0,77313.0,2012-04-03,HR,Female,Bangladesh,Khulna,65.8,False,Product met all expectations.,151.15,0
41,John L.,58.0,50810.0,2024-07-22,HR,Female,United Kingdom,Dhaka,108.8,False,"Excellent product, highly recommend!",83.46,0
42,Alice P.,57.0,81158.0,2023-06-09,Finance,Female,United States,Sylhet,108.5,False,Product met all expectations.,401.52,0
43,Diana D.,34.0,52604.0,2016-07-13,Engineering,Male,United Kingdom,Khulna,118.4,False,No Review,142.85,0
44,Eve B.,62.0,81806.0,2017-12-07,Finance,Female,United States,Chittagong,70.3,False,Would buy again without hesitation.,321.32,0
45,Hasan Q.,30.0,75294.0,2018-04-07,Marketing,Male,United States,Chittagong,77.0,True,Would buy again without hesitation.,337.33,0
46,Alice O.,41.0,86613.0,2023-06-09,Sales,Male,United Kingdom,Rajshahi,104.0,True,No Review,444.08,0
47,Diana V.,41.0,47789.0,2014-02-20,Engineering,Male,United States,Khulna,111.9,True,Product met all expectations.,496.46,0
48,Eve H.,25.0,62659.0,2018-06-11,Marketing,Female,United States,Chittagong,129.0,True,Delivery was fast and packaging great.,405.09,0
49,John H.,41.0,159615.375,2022-11-22,Marketing,Male,United States,Dhaka,55.2,False,Good value for money.,244.98000000000002,0
50,Alice S.,54.0,33282.0,2023-06-09,Sales,Male,United States,Dhaka,78.2,False,"Excellent product, highly recommend!",100.6,1
51,Bob Q.,46.0,109817.0,2018-06-25,Engineering,Male,United Kingdom,Sylhet,53.7,True,Good value for money.,320.08,0
52,Grace T.,55.0,89090.0,2015-08-26,Sales,Male,United Kingdom,Sylhet,108.0,False,No Review,136.91,0
53,Hasan I.,42.0,89765.0,2023-11-15,Finance,Male,United Kingdom,Rajshahi,121.0,False,Would buy again without hesitation.,244.98000000000002,0
54,Grace D.,44.0,118506.0,2022-09-21,Finance,Male,Bangladesh,Khulna,113.2,True,No Review,192.94,1
55,Ira W.,58.0,54515.0,2020-06-20,Finance,Male,Bangladesh,Sylhet,98.4,False,Very satisfied with the quality.,474.02,1
56,Bob U.,23.0,75294.0,2024-09-20,Sales,Female,United States,Rajshahi,59.6,True,Good value for money.,259.36,0
57,Charlie W.,50.0,67807.0,2017-03-29,Sales,Male,United States,Dhaka,53.3,True,Product met all expectations.,264.36,0
58,Alice U.,28.0,114661.0,2021-03-14,Finance,Female,Bangladesh,Sylhet,123.8,True,Delivery was fast and packaging great.,129.64,0
59,Eve P.,61.0,72620.0,2016-03-06,Marketing,Male,United Kingdom,Sylhet,107.9,True,Would buy again without hesitation.,33.77,0
60,John W.,32.0,76958.0,2023-06-09,HR,Female,United Kingdom,Sylhet,86.4,True,Would buy again without hesitation.,186.83,0
61,Grace A.,42.0,87395.0,2015-10-29,HR,Male,Bangladesh,Sylhet,58.1,True,No Review,13.31,0
62,Hasan I.,64.0,116574.0,2010-01-27,Marketing,Male,Bangladesh,Sylhet,52.2,True,Product met all expectations.,340.53,0
63,Grace O.,44.0,15000.0,2016-04-13,HR,Male,United States,Dhaka,87.9,False,Would buy again without hesitation.,422.01,0
64,Diana E.,42.0,59064.0,2023-06-09,HR,Male,United States,Khulna,109.6,False,Delivery was fast and packaging great.,343.66,0
65,John P.,62.0,116319.0,2010-04-11,Finance,Male,United States,Rajshahi,60.4,True,Product met all expectations.,244.98000000000002,0
66,Eve K.,34.0,75294.0,2024-01-25,Sales,Female,United States,Sylhet,98.0,False,Good value for money.,244.98000000000002,0
67,Charlie I.,26.0,32348.0,2024-11-15,Sales,Female,Bangladesh,Khulna,105.5,True,Very satisfied with the quality.,219.28,0
68,Diana R.,41.0,44491.0,2018-09-16,HR,Female,United States,Dhaka,100.5,True,Product met all expectations.,447.38,1
69,Bob G.,63.0,93262.0,2016-04-04,Engineering,Female,Bangladesh,Dhaka,120.0,True,"Excellent product, highly recommend!",244.98000000000002,0
70,Eve H.,26.0,67244.0,2024-01-17,Sales,Male,Bangladesh,Sylhet,121.7,False,Very satisfied with the quality.,193.64,0
71,Diana F.,65.0,61003.0,2023-06-02,Engineering,Male,United States,Khulna,53.9,False,Delivery was fast and packaging great.,471.47,0
72,Alice I.,32.0,59650.0,2023-06-09,HR,Female,Bangladesh,Rajshahi,100.4,False,Would buy again without hesitation.,340.32,0
73,Alice X.,36.0,83430.0,2023-06-09,HR,Female,United States,Rajshahi,93.6,False,No Review,374.55,0
74,John V.,21.0,15000.0,2012-07-20,Engineering,Female,Bangladesh,Khulna,95.8,False,Very satisfied with the quality.,270.13,0
75,Eve F.,26.0,51320.0,2013-12-24,Engineering,Male,Bangladesh,Sylhet,105.7,False,Product met all expectations.,251.75,0
76,Ira E.,41.0,101013.0,2013-08-28,Engineering,Male,Bangladesh,Dhaka,115.0,False,Good value for money.,318.78,0
77,John I.,22.0,103498.0,2020-11-21,Engineering,Female,United States,Dhaka,48.5,False,Very satisfied with the quality.,171.5,0
78,John N.,50.0,30614.0,2013-10-04,Sales,Male,Bangladesh,Khulna,129.6,False,No Review,484.89,0
79,Hasan D.,60.0,97526.0,2018-02-10,HR,Male,United States,Khulna,61.6,False,No Review,259.99,0
80,Alice S.,22.0,103583.0,2023-06-09,Engineering,Male,Bangladesh,Chittagong,100.0,False,No Review,112.24,0
81,Eve C.,18.0,114059.0,2015-10-30,Marketing,Male,United States,Dhaka,122.9,False,Would buy again without hesitation.,68.81,0
82,Frank K.,45.0,71451.0,2012-10-15,Marketing,Male,United States,Rajshahi,45.2,False,Delivery was fast and packaging great.,390.44,0
83,Eve C.,48.0,107269.0,2011-05-16,Marketing,Female,United States,Khulna,77.8,True,Product met all expectations.,334.78,0
84,Eve B.,49.0,75294.0,2013-01-18,Marketing,Male,United States,Dhaka,46.9,False,Delivery was fast and packaging great.,39.29,0
85,Hasan T.,32.0,71777.0,2023-06-09,Engineering,Female,Bangladesh,Rajshahi,115.9,False,Very satisfied with the quality.,454.49,0
86,Grace H.,58.0,38734.0,2019-12-08,HR,Female,Bangladesh,Sylhet,96.3,False,Good value for money.,480.21,0
87,Frank M.,28.0,80526.0,2015-07-08,Sales,Female,United Kingdom,Khulna,46.9,False,Would buy again without hesitation.,437.55,0
88,Hasan F.,31.0,32158.0,2015-07-28,Marketing,Male,Bangladesh,Chittagong,122.5,False,"Excellent product, highly recommend!",20.07,0
89,Grace C.,51.0,95849.0,2011-01-01,Marketing,Female,United States,Sylhet,86.0,False,Delivery was fast and packaging great.,213.0,0
90,Hasan C.,39.0,75294.0,2023-06-09,Engineering,Female,United Kingdom,Sylhet,72.9,True,Good value for money.,61.23,0
91,Ira O.,26.0,94765.0,2016-07-19,Finance,Female,Bangladesh,Rajshahi,84.8,False,Delivery was fast and packaging great.,137.22,0
92,Grace A.,36.0,115296.0,2012-09-09,HR,Male,United Kingdom,Chittagong,71.9,False,Product met all expectations.,311.67,0
93,Diana N.,36.0,91952.0,2012-05-09,Engineering,Female,United States,Khulna,75.7,False,Would buy again without hesitation.,95.03,0
94,Bob E.,30.0,52760.0,2013-07-01,Sales,Male,United States,Khulna,126.3,False,Very satisfied with the quality.,37.23,0
95,Frank S.,18.0,93894.0,2016-01-05,Sales,Male,Bangladesh,Chittagong,102.5,True,Product met all expectations.,189.29,0
96,Alice J.,61.0,63196.0,2023-06-09,Sales,Male,United States,Chittagong,110.3,False,Would buy again without hesitation.,28.71,0
97,Eve X.,52.0,100121.0,2013-10-22,Sales,Male,Bangladesh,Khulna,115.5,True,Good value for money.,239.81,0
98,Ira H.,51.0,92138.0,2022-06-11,Finance,Male,United States,Khulna,62.0,False,Very satisfied with the quality.,57.87,0
99,Diana R.,52.0,86047.0,2018-03-08,Engineering,Female,Bangladesh,Rajshahi,85.9,False,Would buy again without hesitation.,66.36,0
100,Charlie T.,64.0,50196.0,2015-08-29,Engineering,Male,United States,Rajshahi,97.3,False,Good value for money.,249.81,0
101,Bob J.,41.0,108292.0,2020-11-19,HR,Female,United States,Khulna,48.8,True,Product met all expectations.,78.32,0
102,John H.,42.0,75294.0,2017-11-27,Finance,Male,United States,Sylhet,62.5,False,Delivery was fast and packaging great.,393.67,0
103,Hasan T.,48.0,87976.0,2019-05-28,Engineering,Female,United States,Khulna,128.2,False,Product met all expectations.,304.52,0
104,Bob I.,57.0,102038.0,2023-06-09,Finance,Male,United States,Rajshahi,45.6,True,Very satisfied with the quality.,145.04,0
105,Eve A.,52.0,56265.0,2023-06-09,Marketing,Female,United Kingdom,Chittagong,120.7,False,Good value for money.,79.53,0
106,Diana I.,24.0,75294.0,2023-06-05,HR,Female,Bangladesh,Dhaka,57.5,False,Very satisfied with the quality.,244.98000000000002,1
107,Frank Y.,20.0,99024.0,2014-07-28,Engineering,Female,United Kingdom,Rajshahi,101.5,False,"Excellent product, highly recommend!",238.17,0
108,Alice X.,23.0,98596.0,2024-10-01,Sales,Female,United States,Sylhet,90.0,False,Very satisfied with the quality.,243.32,1
109,Frank D.,30.0,105097.0,2019-08-20,Engineering,Male,Bangladesh,Sylhet,128.9,False,Would buy again without hesitation.,90.87,0
110,Grace Z.,56.0,59116.0,2015-03-21,Marketing,Male,United States,Rajshahi,102.1,True,Would buy again without hesitation.,110.36,0
111,Diana H.,56.0,59079.0,2012-03-04,Sales,Male,United States,Chittagong,60.0,False,Product met all expectations.,190.42,0
112,Charlie L.,40.0,60409.0,2015-11-25,Engineering,Female,United States,Sylhet,123.0,True,"Excellent product, highly recommend!",405.17,0
113,Bob N.,22.0,95964.0,2024-01-16,HR,Male,Bangladesh,Khulna,116.2,False,Good value for money.,333.39,0
114,Grace R.,60.0,37882.0,2023-06-09,Sales,Female,United States,Rajshahi,60.7,True,Product met all expectations.,291.44,0
115,Charlie X.,50.0,49466.0,2022-03-24,Sales,Female,United Kingdom,Sylhet,93.4,False,Delivery was fast and packaging great.,217.58,0
116,Hasan V.,53.0,15000.0,2017-03-01,Marketing,Female,Bangladesh,Chittagong,48.2,False,Product met all expectations.,385.13,0
117,Grace Q.,35.0,113301.0,2022-12-19,HR,Male,Bangladesh,Rajshahi,83.0,False,No Review,249.14,0
118,Charlie Q.,44.0,15000.0,2014-03-06,Engineering,Female,United States,Sylhet,47.5,False,No Review,113.31,0
119,Hasan S.,62.0,112754.0,2014-07-02,Marketing,Female,United Kingdom,Rajshahi,100.0,True,"Excellent product, highly recommend!",158.09,0
120,Eve C.,63.0,30490.0,2023-12-11,HR,Male,United States,Sylhet,81.3,False,Very satisfied with the quality.,420.64,0
121,Alice B.,20.0,109515.0,2011-09-30,Marketing,Male,United States,Chittagong,91.9,False,No Review,183.62,0
122,Charlie V.,42.0,75294.0,2013-10-27,HR,Male,United States,Dhaka,96.9,False,Delivery was fast and packaging great.,59.31,0
123,Charlie M.,52.0,78634.0,2012-08-19,Engineering,Female,United States,Sylhet,84.8,False,Product met all expectations.,153.64,0
124,Alice Y.,30.0,50527.0,2023-06-09,Sales,Female,United Kingdom,Chittagong,115.0,True,Product met all expectations.,244.98000000000002,1
125,Grace X.,41.0,84114.0,2020-06-25,HR,Female,United States,Chittagong,126.6,True,Very satisfied with the quality.,434.74,0
126,Eve D.,41.0,44735.0,2015-05-31,Engineering,Female,Bangladesh,Rajshahi,108.4,False,Delivery was fast and packaging great.,251.04,0
127,Ira B.,38.0,31297.0,2023-06-09,Finance,Male,United States,Rajshahi,89.0,False,No Review,226.51,1
128,Bob E.,50.0,78938.0,2020-10-24,Marketing,Male,Bangladesh,Rajshahi,74.4,False,No Review,82.51,0
129,Frank I.,45.0,80966.0,2023-06-09,HR,Male,Bangladesh,Khulna,49.5,False,"Excellent product, highly recommend!",452.4,0
130,Diana E.,52.0,77816.0,2020-08-15,Engineering,Male,United States,Rajshahi,114.5,False,Good value for money.,468.86,0
131,Frank H.,33.0,114401.0,2023-02-16,Finance,Male,Bangladesh,Dhaka,104.0,True,Very satisfied with the quality.,195.08,0
132,Eve S.,49.0,56282.0,2018-01-09,Sales,Male,United States,Dhaka,65.7,False,good,18.22,0
133,Eve G.,61.0,52093.0,2011-10-05,Marketing,Male,United States,Chittagong,86.8,False,Very satisfied with the quality.,97.61,0
134,Ira K.,56.0,112921.0,2019-01-14,Finance,Female,Bangladesh,Chittagong,48.2,True,Delivery was fast and packaging great.,201.2,0
135,Eve X.,34.0,59343.0,2023-06-09,Engineering,Male,Bangladesh,Dhaka,50.4,True,Very satisfied with the quality.,417.23,0
136,Ira Q.,51.0,37287.0,2023-06-09,Marketing,Female,United Kingdom,Chittagong,124.9,False,Very satisfied with the quality.,141.0,0
137,Ira B.,62.0,60399.0,2010-04-11,Finance,Male,Bangladesh,Chittagong,118.1,True,Would buy again without hesitation.,469.94,0
138,Grace M.,32.0,114893.0,2011-08-02,HR,Female,Bangladesh,Chittagong,56.4,False,Good value for money.,380.01,0
139,Grace J.,35.0,89819.0,2022-05-16,Marketing,Male,United States,Chittagong,66.8,False,No Review,99.54,0
140,John Q.,58.0,103402.0,2018-06-08,Sales,Female,United States,Sylhet,116.8,True,Delivery was fast and packaging great.,63.6,0
141,Ira C.,21.0,74665.0,2016-06-04,Engineering,Female,Bangladesh,Dhaka,83.5,False,Product met all expectations.,497.81,0
142,Charlie R.,41.0,117077.0,2014-11-19,Engineering,Female,Bangladesh,Chittagong,80.3,False,No Review,30.93,0
143,Hasan U.,41.0,64846.0,2021-02-09,Engineering,Male,Bangladesh,Dhaka,49.4,True,Delivery was fast and packaging great.,346.91,0
144,Diana K.,35.0,89922.0,2023-11-11,Sales,Male,United Kingdom,Chittagong,112.6,False,Delivery was fast and packaging great.,175.86,0
145,Eve U.,45.0,101753.0,2023-02-13,Sales,Female,United Kingdom,Dhaka,75.1,True,Product met all expectations.,264.56,0
146,Diana I.,44.0,112673.0,2015-04-18,Sales,Female,United States,Khulna,101.1,False,Good value for money.,276.06,0
147,John M.,45.0,107410.0,2023-06-09,Engineering,Female,United States,Rajshahi,101.9,False,No Review,467.09,0
148,Grace A.,19.0,96566.0,2023-06-09,Sales,Male,United States,Rajshahi,60.4,False,Delivery was fast and packaging great.,244.98000000000002,0
149,Diana T.,50.0,107369.0,2024-02-21,Engineering,Male,Bangladesh,Chittagong,45.5,False,Product met all expectations.,293.92,0
150,John L.,37.0,75294.0,2019-01-09,Sales,Male,United Kingdom,Dhaka,124.1,False,Good value for money.,412.3,0
151,Ira F.,57.0,84733.0,2012-03-26,Finance,Male,United States,Chittagong,77.0,False,Product met all expectations.,86.12,1
152,Frank P.,27.0,63965.0,2023-06-09,Engineering,Female,United States,Khulna,90.2,True,Delivery was fast and packaging great.,486.67,0
153,Frank G.,41.0,63465.0,2015-08-13,Finance,Male,Bangladesh,Rajshahi,72.1,False,Would buy again without hesitation.,55.31,0
154,Grace Y.,41.0,61289.0,2015-10-20,Engineering,Female,United States,Sylhet,48.8,False,Delivery was fast and packaging great.,464.24,1
155,Charlie G.,62.0,67374.0,2023-06-09,Engineering,Female,Bangladesh,Khulna,93.7,True,No Review,76.41,0
156,Frank M.,45.0,75294.0,2011-08-21,Sales,Female,Bangladesh,Rajshahi,110.7,True,"Excellent product, highly recommend!",71.04,0
157,Hasan R.,64.0,104766.0,2018-02-07,Sales,Female,United Kingdom,Sylhet,128.8,False,Very satisfied with the quality.,454.56,0
158,Bob R.,18.0,47609.0,2023-09-04,Finance,Female,United States,Dhaka,117.0,False,Product met all expectations.,61.21,0
159,Bob T.,50.0,78015.0,2014-07-30,Finance,Female,United States,Khulna,92.0,False,Very satisfied with the quality.,191.85,0
160,Eve E.,54.0,53291.0,2021-04-21,Marketing,Female,Bangladesh,Rajshahi,86.8,False,"Excellent product, highly recommend!",352.8,0
161,Diana I.,26.0,42562.0,2011-08-08,Finance,Female,Bangladesh,Sylhet,123.2,True,"Excellent product, highly recommend!",294.21,0
162,Charlie U.,43.0,68188.0,2011-07-23,Marketing,Female,United States,Sylhet,74.7,True,Product met all expectations.,127.86,0
163,Frank K.,42.0,38414.0,2023-06-09,Finance,Male,United States,Dhaka,124.4,True,Delivery was fast and packaging great.,211.96,0
164,Eve M.,62.0,117391.0,2024-05-20,Engineering,Male,Bangladesh,Khulna,129.8,True,Product met all expectations.,217.83,0
165,Hasan P.,51.0,115761.0,2023-06-09,Marketing,Male,Bangladesh,Rajshahi,118.6,True,Very satisfied with the quality.,27.1,0
166,John M.,48.0,113670.0,2023-06-09,Finance,Female,Bangladesh,Chittagong,67.1,False,Very satisfied with the quality.,441.61,0
167,Frank R.,41.0,60963.0,2012-04-06,Sales,Male,United States,Khulna,69.9,False,No Review,448.53,0
168,Charlie Q.,61.0,71850.0,2021-08-11,Marketing,Male,United States,Sylhet,93.6,True,Product met all expectations.,183.15,0
169,Hasan P.,23.0,93346.0,2011-02-15,Sales,Female,Bangladesh,Dhaka,86.3,False,No Review,247.47,1
170,Diana A.,48.0,83926.0,2023-06-09,HR,Male,Bangladesh,Khulna,80.6,True,Would buy again without hesitation.,254.75,0
171,Grace L.,57.0,44766.0,2015-10-06,Engineering,Male,United Kingdom,Dhaka,121.0,False,Delivery was fast and packaging great.,452.78,0
172,Eve C.,55.0,88144.0,2010-09-12,Engineering,Female,United Kingdom,Khulna,117.3,False,Product met all expectations.,153.34,0
173,Diana E.,42.0,92451.0,2014-11-23,HR,Male,Bangladesh,Chittagong,106.0,False,Would buy again without hesitation.,293.32,0
174,Bob A.,63.0,78797.0,2022-02-18,Sales,Male,United Kingdom,Chittagong,75.0,True,Good value for money.,495.64,0
175,Hasan O.,18.0,89578.0,2023-06-09,Marketing,Male,Bangladesh,Rajshahi,100.0,False,Delivery was fast and packaging great.,81.07,0
176,Hasan F.,57.0,30127.0,2024-09-13,Marketing,Male,Bangladesh,Sylhet,102.9,False,No Review,498.61,0
177,Alice R.,38.0,75294.0,2023-06-15,Engineering,Male,United States,Sylhet,73.9,True,Delivery was fast and packaging great.,202.34,0
178,Hasan W.,27.0,43825.0,2014-02-03,Engineering,Female,United States,Sylhet,86.8,True,No Review,276.06,0
179,Alice Z.,31.0,71414.0,2024-10-06,HR,Male,Bangladesh,Sylhet,87.5,False,Would buy again without hesitation.,243.84,0
180,John K.,27.0,101010.0,2019-05-14,HR,Male,United States,Dhaka,106.0,True,"Excellent product, highly recommend!",136.59,0
181,Diana L.,27.0,82719.0,2023-01-08,HR,Female,United States,Dhaka,107.8,False,Delivery was fast and packaging great.,12.82,0
182,Frank I.,59.0,54120.0,2016-11-12,Marketing,Male,United States,Sylhet,86.8,True,Good value for money.,23.4,0
183,Diana V.,51.0,67808.0,2011-01-05,Finance,Female,United States,Rajshahi,87.5,False,"Excellent product, highly recommend!",256.64,0
184,Grace F.,30.0,31633.0,2014-10-29,Sales,Female,United States,Dhaka,125.0,True,No Review,12.14,0
185,Ira D.,33.0,159615.375,2014-04-13,Finance,Male,United States,Sylhet,80.8,True,Product met all expectations.,91.95,0
186,Hasan K.,48.0,99603.0,2012-04-19,Engineering,Female,United Kingdom,Dhaka,53.3,True,"Excellent product, highly recommend!",291.26,0
187,Frank H.,38.0,75294.0,2021-05-19,Engineering,Female,Bangladesh,Sylhet,122.1,True,Very satisfied with the quality.,348.92,0
188,Alice P.,46.0,59694.0,2023-06-09,HR,Female,United States,Rajshahi,81.3,False,"Excellent product, highly recommend!",312.02,0
189,Charlie B.,42.0,66436.0,2016-07-05,Sales,Male,United States,Sylhet,66.6,False,No Review,233.19,0
190,Alice C.,31.0,59968.0,2020-11-30,Sales,Female,Bangladesh,Chittagong,80.7,False,Very satisfied with the quality.,199.48,0
191,Bob F.,42.0,91144.0,2019-09-03,HR,Male,United Kingdom,Rajshahi,108.0,False,Would buy again without hesitation.,447.06,0
192,Hasan O.,51.0,75294.0,2015-07-01,Finance,Male,Bangladesh,Dhaka,84.8,True,Would buy again without hesitation.,215.78,0
193,Hasan I.,58.0,84282.0,2019-08-07,Marketing,Female,Bangladesh,Rajshahi,46.6,True,Good value for money.,346.34,0
194,Alice X.,52.0,119673.0,2014-08-09,Finance,Male,Bangladesh,Khulna,102.5,True,"Excellent product, highly recommend!",272.79,0
195,Bob G.,27.0,96205.0,2023-06-09,Finance,Female,United States,Khulna,90.3,True,"Excellent product, highly recommend!",244.98000000000002,0
196,Diana E.,41.0,103459.0,2016-01-20,Finance,Male,United States,Sylhet,75.1,True,"Excellent product, highly recommend!",492.76,0
197,Charlie S.,29.0,54295.0,2020-08-27,Marketing,Male,United States,Chittagong,75.9,False,Product met all expectations.,265.25,0
198,Ira D.,44.0,32663.0,2019-01-30,Finance,Female,United States,Sylhet,58.0,True,Product met all expectations.,100.27,0
199,Bob V.,41.0,43710.0,2015-05-19,HR,Female,Bangladesh,Khulna,100.7,True,Very satisfied with the quality.,244.79,0
200,John T.,28.0,63469.0,2023-06-09,Engineering,Female,United States,Dhaka,125.3,False,No Review,30.9,0
201,Bob Y.,20.0,61398.0,2023-06-09,Sales,Female,United States,Chittagong,110.8,True,Product met all expectations.,313.33,0
202,Charlie O.,41.0,118396.0,2017-10-13,Engineering,Female,Bangladesh,Dhaka,126.0,False,"Excellent product, highly recommend!",77.66,1
203,Bob P.,52.0,119209.0,2019-08-22,HR,Male,Bangladesh,Khulna,49.2,False,"Excellent product, highly recommend!",347.27,0
204,Ira S.,34.0,43933.0,2014-06-27,Sales,Female,United States,Dhaka,109.1,False,Would buy again without hesitation.,403.36,0
205,Charlie P.,56.0,64346.0,2012-06-01,Marketing,Female,Bangladesh,Dhaka,88.8,False,No Review,83.56,0
206,Ira K.,40.0,75294.0,2013-01-30,Engineering,Female,United States,Sylhet,76.2,True,Good value for money.,281.02,0
207,Grace C.,42.0,40291.0,2023-06-09,Finance,Female,United States,Rajshahi,64.5,False,Product met all expectations.,164.16,0
208,Ira P.,20.0,108757.0,2017-11-14,HR,Male,United States,Chittagong,112.9,True,Good value for money.,244.98000000000002,0
209,Diana L.,22.0,107326.0,2020-05-21,Engineering,Female,United Kingdom,Khulna,110.0,True,Very satisfied with the quality.,159.56,1
210,Bob R.,61.0,88158.0,2010-03-21,HR,Female,United States,Dhaka,85.8,True,Would buy again without hesitation.,476.28,0
211,Bob G.,63.0,35712.0,2023-06-09,HR,Male,United States,Dhaka,108.1,False,Delivery was fast and packaging great.,246.11,0
212,Charlie U.,42.0,81474.0,2013-12-02,HR,Female,United States,Chittagong,62.6,True,"Excellent product, highly recommend!",52.61,0
213,Ira R.,40.0,60088.0,2024-03-12,Finance,Male,United States,Rajshahi,55.3,False,Good value for money.,421.37,0
214,Charlie J.,63.0,47000.0,2023-06-09,Engineering,Female,Bangladesh,Khulna,86.0,False,Product met all expectations.,289.47,0
